Best Model: WeightedEnsemble_L3
Training Time: 0.03119635581970215 seconds
Validation Score: -801712.6499169396

Model Performance:
                      model     score_val             eval_metric  pred_time_val    fit_time  pred_time_val_marginal  fit_time_marginal  stack_level  can_infer  fit_order
    RandomForest_r39_BAG_L1 -9.485765e+05 root_mean_squared_error       0.104633    1.086739                0.104633           1.086739            1       True         43
         XGBoost_r98_BAG_L1 -9.488344e+05 root_mean_squared_error       0.204640   11.575401                0.204640          11.575401            1       True         47
         XGBoost_r89_BAG_L1 -9.489262e+05 root_mean_squared_error       0.120189    6.371189                0.120189           6.371189            1       True         27
          LightGBMXT_BAG_L1 -9.496119e+05 root_mean_squared_error       0.071393    4.751692                0.071393           4.751692            1       True          3
         CatBoost_r5_BAG_L1 -9.526816e+05 root_mean_squared_error       0.027514    4.984640                0.027514           4.984640            1       True         69
       CatBoost_r163_BAG_L1 -9.530588e+05 root_mean_squared_error       0.024591    4.859846                0.024591           4.859846            1       True        100
 NeuralNetTorch_r135_BAG_L1 -9.534448e+05 root_mean_squared_error       0.121789   24.117070                0.121789          24.117070            1       True         95
   RandomForest_r195_BAG_L1 -9.539710e+05 root_mean_squared_error       0.109011    1.305310                0.109011           1.305310            1       True         24
             XGBoost_BAG_L1 -9.543849e+05 root_mean_squared_error       0.123764    6.282949                0.123764           6.282949            1       True          9
  NeuralNetTorch_r41_BAG_L1 -9.552837e+05 root_mean_squared_error       0.106673   14.362444                0.106673          14.362444            1       True         46
   RandomForest_r166_BAG_L1 -9.555232e+05 root_mean_squared_error       0.108454    1.419375                0.108454           1.419375            1       True         74
        CatBoost_r49_BAG_L1 -9.561124e+05 root_mean_squared_error       0.029539    4.516155                0.029539           4.516155            1       True         53
     ExtraTrees_r126_BAG_L1 -9.574738e+05 root_mean_squared_error       0.104348    1.142943                0.104348           1.142943            1       True         97
        CatBoost_r60_BAG_L1 -9.581141e+05 root_mean_squared_error       0.029147    5.400193                0.029147           5.400193            1       True         78
        LightGBM_r15_BAG_L1 -9.589937e+05 root_mean_squared_error       0.045945    4.638313                0.045945           4.638313            1       True         48
    RandomForest_r16_BAG_L1 -9.612824e+05 root_mean_squared_error       0.109965    1.630061                0.109965           1.630061            1       True         92
     RandomForestMSE_BAG_L1 -9.612824e+05 root_mean_squared_error       0.118848    0.683571                0.118848           0.683571            1       True          5
NeuralNetFastAI_r145_BAG_L1 -9.614049e+05 root_mean_squared_error       0.113183   11.859320                0.113183          11.859320            1       True         26
NeuralNetFastAI_r138_BAG_L1 -9.615651e+05 root_mean_squared_error       0.118184   15.435500                0.118184          15.435500            1       True         84
NeuralNetFastAI_r134_BAG_L1 -9.617331e+05 root_mean_squared_error       0.216491   33.221768                0.216491          33.221768            1       True         57
  NeuralNetTorch_r71_BAG_L1 -9.629185e+05 root_mean_squared_error       0.117570   12.578968                0.117570          12.578968            1       True         71
       LightGBM_r161_BAG_L1 -9.631366e+05 root_mean_squared_error       0.087222    5.821981                0.087222           5.821981            1       True         38
       LightGBM_r121_BAG_L1 -9.646705e+05 root_mean_squared_error       0.094856    6.490530                0.094856           6.490530            1       True         85
  NeuralNetTorch_r87_BAG_L1 -9.651508e+05 root_mean_squared_error       0.112406   16.738718                0.112406          16.738718            1       True         70
        XGBoost_r194_BAG_L1 -9.655147e+05 root_mean_squared_error       0.142933    5.512158                0.142933           5.512158            1       True         33
  NeuralNetTorch_r76_BAG_L1 -9.659540e+05 root_mean_squared_error       0.094666   12.375588                0.094666          12.375588            1       True         88
       CatBoost_r137_BAG_L1 -9.659542e+05 root_mean_squared_error       0.029761    5.484670                0.029761           5.484670            1       True         21
         XGBoost_r49_BAG_L1 -9.665305e+05 root_mean_squared_error       0.162957    7.840394                0.162957           7.840394            1       True         68
    RandomForest_r15_BAG_L1 -9.665461e+05 root_mean_squared_error       0.102125    1.263082                0.102125           1.263082            1       True         79
 NeuralNetFastAI_r95_BAG_L1 -9.673350e+05 root_mean_squared_error       0.118577   11.526683                0.118577          11.526683            1       True         45
         XGBoost_r95_BAG_L1 -9.673838e+05 root_mean_squared_error       0.140077    6.800575                0.140077           6.800575            1       True        104
      NeuralNetTorch_BAG_L1 -9.676697e+05 root_mean_squared_error       0.100826   24.672515                0.100826          24.672515            1       True         10
         XGBoost_r31_BAG_L1 -9.681789e+05 root_mean_squared_error       0.147780   14.807433                0.147780          14.807433            1       True         75
         XGBoost_r34_BAG_L1 -9.695689e+05 root_mean_squared_error       0.112560    8.084996                0.112560           8.084996            1       True        105
  NeuralNetTorch_r31_BAG_L1 -9.699652e+05 root_mean_squared_error       0.102664   14.256125                0.102664          14.256125            1       True         63
         XGBoost_r22_BAG_L1 -9.701662e+05 root_mean_squared_error       0.124984    5.856499                0.124984           5.856499            1       True         81
     ExtraTrees_r178_BAG_L1 -9.710268e+05 root_mean_squared_error       0.107139    1.077551                0.107139           1.077551            1       True         73
        LightGBM_r94_BAG_L1 -9.721038e+05 root_mean_squared_error       0.104820    5.064036                0.104820           5.064036            1       True         59
         XGBoost_r33_BAG_L1 -9.736092e+05 root_mean_squared_error       0.192944   12.556118                0.192944          12.556118            1       True         19
     ExtraTrees_r172_BAG_L1 -9.747304e+05 root_mean_squared_error       0.100610    0.482700                0.100610           0.482700            1       True         34
       LightGBM_r131_BAG_L1 -9.754145e+05 root_mean_squared_error       0.080996    5.372869                0.080996           5.372869            1       True         14
       LightGBM_r143_BAG_L1 -9.758325e+05 root_mean_squared_error       0.071818    5.101005                0.071818           5.101005            1       True         55
NeuralNetFastAI_r103_BAG_L1 -9.773843e+05 root_mean_squared_error       0.115503   10.315321                0.115503          10.315321            1       True         36
       LightGBMLarge_BAG_L1 -9.783518e+05 root_mean_squared_error       0.071190    5.835583                0.071190           5.835583            1       True         11
            LightGBM_BAG_L1 -9.798385e+05 root_mean_squared_error       0.032238    4.477045                0.032238           4.477045            1       True          4
        LightGBM_r96_BAG_L1 -9.811726e+05 root_mean_squared_error       0.240293    5.535545                0.240293           5.535545            1       True         17
  NeuralNetTorch_r14_BAG_L1 -9.815727e+05 root_mean_squared_error       0.094935   12.567576                0.094935          12.567576            1       True         37
  NeuralNetTorch_r30_BAG_L1 -9.822977e+05 root_mean_squared_error       0.104449   22.132355                0.104449          22.132355            1       True         28
       LightGBM_r135_BAG_L1 -9.825414e+05 root_mean_squared_error       0.067755    4.593402                0.067755           4.593402            1       True         80
NeuralNetFastAI_r187_BAG_L1 -9.826473e+05 root_mean_squared_error       0.204054   24.642099                0.204054          24.642099            1       True        102
NeuralNetFastAI_r102_BAG_L1 -9.844331e+05 root_mean_squared_error       0.184591   20.025121                0.184591          20.025121            1       True         22
 NeuralNetFastAI_r69_BAG_L1 -9.860512e+05 root_mean_squared_error       0.105792    9.934853                0.105792           9.934853            1       True         82
   RandomForest_r127_BAG_L1 -9.861110e+05 root_mean_squared_error       0.102631    1.340422                0.102631           1.340422            1       True         56
NeuralNetFastAI_r127_BAG_L1 -9.885159e+05 root_mean_squared_error       0.171909   17.514204                0.171909          17.514204            1       True         91
NeuralNetFastAI_r100_BAG_L1 -9.899663e+05 root_mean_squared_error       0.201223   29.489185                0.201223          29.489185            1       True         99
NeuralNetFastAI_r191_BAG_L1 -9.904336e+05 root_mean_squared_error       0.146412   12.140507                0.146412          12.140507            1       True         15
 NeuralNetTorch_r158_BAG_L1 -9.904919e+05 root_mean_squared_error       0.110310   18.266994                0.110310          18.266994            1       True         49
 NeuralNetTorch_r143_BAG_L1 -9.921911e+05 root_mean_squared_error       0.110173   21.714314                0.110173          21.714314            1       True         60
  NeuralNetTorch_r79_BAG_L1 -9.923157e+05 root_mean_squared_error       0.122511   16.102183                0.122511          16.102183            1       True         13
       LightGBM_r130_BAG_L1 -9.924727e+05 root_mean_squared_error       0.050548    4.356088                0.050548           4.356088            1       True         29
 NeuralNetTorch_r197_BAG_L1 -9.927207e+05 root_mean_squared_error       0.110311   11.676669                0.110311          11.676669            1       True         52
