Best Model: WeightedEnsemble_L3
Training Time: 0.033498525619506836 seconds
Validation Score: -1576767.1290875191

Model Performance:
                      model     score_val             eval_metric  pred_time_val    fit_time  pred_time_val_marginal  fit_time_marginal  stack_level  can_infer  fit_order
  NeuralNetTorch_r30_BAG_L1 -1.725261e+06 root_mean_squared_error       0.100760   16.208984                0.100760          16.208984            1       True         28
          LightGBMXT_BAG_L1 -1.725991e+06 root_mean_squared_error       0.030568    4.210052                0.030568           4.210052            1       True          3
  NeuralNetFastAI_r4_BAG_L1 -1.726556e+06 root_mean_squared_error       0.104908    9.179860                0.104908           9.179860            1       True         96
 NeuralNetTorch_r197_BAG_L1 -1.727137e+06 root_mean_squared_error       0.089682   10.167291                0.089682          10.167291            1       True         52
        LightGBM_r42_BAG_L1 -1.727175e+06 root_mean_squared_error       0.030564    4.290949                0.030564           4.290949            1       True        106
        LightGBM_r30_BAG_L1 -1.727207e+06 root_mean_squared_error       0.051620    4.331656                0.051620           4.331656            1       True         67
NeuralNetFastAI_r127_BAG_L1 -1.728202e+06 root_mean_squared_error       0.165651   16.386445                0.165651          16.386445            1       True         91
NeuralNetFastAI_r160_BAG_L1 -1.728906e+06 root_mean_squared_error       0.129644    9.666199                0.129644           9.666199            1       True         77
  NeuralNetTorch_r76_BAG_L1 -1.729505e+06 root_mean_squared_error       0.087718   10.265254                0.087718          10.265254            1       True         88
 NeuralNetTorch_r121_BAG_L1 -1.729900e+06 root_mean_squared_error       0.094403   16.284395                0.094403          16.284395            1       True         90
NeuralNetFastAI_r111_BAG_L1 -1.729910e+06 root_mean_squared_error       0.175007   15.890291                0.175007          15.890291            1       True         62
 NeuralNetTorch_r185_BAG_L1 -1.729963e+06 root_mean_squared_error       0.119108   12.656965                0.119108          12.656965            1       True         76
  NeuralNetTorch_r87_BAG_L1 -1.730500e+06 root_mean_squared_error       0.082130   13.840007                0.082130          13.840007            1       True         70
NeuralNetFastAI_r143_BAG_L1 -1.731752e+06 root_mean_squared_error       0.159531   19.920922                0.159531          19.920922            1       True         39
 NeuralNetFastAI_r11_BAG_L1 -1.732121e+06 root_mean_squared_error       0.147578   12.550872                0.147578          12.550872            1       True         32
         CatBoost_r5_BAG_L1 -1.733093e+06 root_mean_squared_error       0.027763    4.067590                0.027763           4.067590            1       True         69
       CatBoost_r137_BAG_L1 -1.733095e+06 root_mean_squared_error       0.028481    4.242361                0.028481           4.242361            1       True         21
NeuralNetFastAI_r102_BAG_L1 -1.733256e+06 root_mean_squared_error       0.142594   17.331484                0.142594          17.331484            1       True         22
        CatBoost_r50_BAG_L1 -1.733374e+06 root_mean_squared_error       0.027357    4.688102                0.027357           4.688102            1       True         31
NeuralNetFastAI_r187_BAG_L1 -1.733738e+06 root_mean_squared_error       0.149091   20.088296                0.149091          20.088296            1       True        102
  NeuralNetTorch_r89_BAG_L1 -1.734914e+06 root_mean_squared_error       0.107745   14.208498                0.107745          14.208498            1       True        108
         CatBoost_r6_BAG_L1 -1.736261e+06 root_mean_squared_error       0.029195    4.681373                0.029195           4.681373            1       True         83
        LightGBM_r94_BAG_L1 -1.736307e+06 root_mean_squared_error       0.050826    4.031942                0.050826           4.031942            1       True         59
        CatBoost_r49_BAG_L1 -1.737394e+06 root_mean_squared_error       0.027365    4.030226                0.027365           4.030226            1       True         53
        LightGBM_r96_BAG_L1 -1.737435e+06 root_mean_squared_error       0.092345    4.179606                0.092345           4.179606            1       True         17
       CatBoost_r163_BAG_L1 -1.737809e+06 root_mean_squared_error       0.028989    4.072001                0.028989           4.072001            1       True        100
        CatBoost_r60_BAG_L1 -1.738179e+06 root_mean_squared_error       0.027104    4.644205                0.027104           4.644205            1       True         78
  NeuralNetTorch_r79_BAG_L1 -1.739274e+06 root_mean_squared_error       0.091671   13.999112                0.091671          13.999112            1       True         13
   NeuralNetTorch_r1_BAG_L1 -1.739526e+06 root_mean_squared_error       0.122973   13.912262                0.122973          13.912262            1       True        107
        CatBoost_r70_BAG_L1 -1.740889e+06 root_mean_squared_error       0.028632    6.951045                0.028632           6.951045            1       True         40
       LightGBM_r196_BAG_L1 -1.741202e+06 root_mean_squared_error       0.127455    5.531353                0.127455           5.531353            1       True         42
        CatBoost_r69_BAG_L1 -1.741984e+06 root_mean_squared_error       0.032193    4.689432                0.032193           4.689432            1       True         35
       ExtraTrees_r4_BAG_L1 -1.744028e+06 root_mean_squared_error       0.098039    0.578396                0.098039           0.578396            1       True         64
       LightGBM_r135_BAG_L1 -1.744076e+06 root_mean_squared_error       0.029156    4.226235                0.029156           4.226235            1       True         80
       CatBoost_r177_BAG_L1 -1.744526e+06 root_mean_squared_error       0.027893    4.158357                0.027893           4.158357            1       True         12
            CatBoost_BAG_L1 -1.744754e+06 root_mean_squared_error       0.026125    4.880553                0.026125           4.880553            1       True          6
       CatBoost_r198_BAG_L1 -1.745171e+06 root_mean_squared_error       0.028389    4.841274                0.028389           4.841274            1       True        101
       LightGBM_r130_BAG_L1 -1.745595e+06 root_mean_squared_error       0.026942    4.325881                0.026942           4.325881            1       True         29
