Best Model: WeightedEnsemble_L3
Training Time: 0.07369756698608398 seconds
Validation Score: -424912.10295995267

Model Performance:
                      model      score_val             eval_metric  pred_time_val    fit_time  pred_time_val_marginal  fit_time_marginal  stack_level  can_infer  fit_order
     ExtraTrees_r172_BAG_L1 -479776.760863 root_mean_squared_error       0.312076    1.268439                0.312076           1.268439            1       True         34
       LightGBM_r188_BAG_L1 -480394.954981 root_mean_squared_error       0.055442   13.329110                0.055442          13.329110            1       True         25
       LightGBM_r196_BAG_L1 -480417.905664 root_mean_squared_error       0.223377   13.106300                0.223377          13.106300            1       True         42
       LightGBM_r135_BAG_L1 -481019.573448 root_mean_squared_error       0.082334    8.961956                0.082334           8.961956            1       True         80
         XGBoost_r89_BAG_L1 -481151.683311 root_mean_squared_error       0.226592   10.784192                0.226592          10.784192            1       True         27
         XGBoost_r98_BAG_L1 -481579.659618 root_mean_squared_error       0.456296   18.569467                0.456296          18.569467            1       True         47
NeuralNetFastAI_r102_BAG_L1 -481709.302921 root_mean_squared_error       0.384755   58.891540                0.384755          58.891540            1       True         22
        LightGBM_r94_BAG_L1 -481961.500011 root_mean_squared_error       0.074606    5.682703                0.074606           5.682703            1       True         59
        LightGBM_r15_BAG_L1 -482051.801363 root_mean_squared_error       0.058158    6.234316                0.058158           6.234316            1       True         48
             XGBoost_BAG_L1 -482174.490756 root_mean_squared_error       0.209075   14.382957                0.209075          14.382957            1       True          9
     NeuralNetFastAI_BAG_L1 -482183.124290 root_mean_squared_error       0.216835   27.677559                0.216835          27.677559            1       True          8
        LightGBM_r96_BAG_L1 -482855.121576 root_mean_squared_error       0.310706   14.971647                0.310706          14.971647            1       True         17
       LightGBM_r130_BAG_L1 -484285.390590 root_mean_squared_error       0.082399   12.044003                0.082399          12.044003            1       True         29
NeuralNetFastAI_r160_BAG_L1 -485189.328256 root_mean_squared_error       0.325486   21.613730                0.325486          21.613730            1       True         77
         XGBoost_r33_BAG_L2 -485329.920798 root_mean_squared_error      15.723865 1559.601785                0.464915          98.829810            2       True         99
         XGBoost_r22_BAG_L1 -485648.731785 root_mean_squared_error       0.264485    9.618223                0.264485           9.618223            1       True         81
         XGBoost_r33_BAG_L1 -485675.896205 root_mean_squared_error       0.263291   15.202480                0.263291          15.202480            1       True         19
  NeuralNetTorch_r41_BAG_L1 -485774.459025 root_mean_squared_error       0.106485   22.845794                0.106485          22.845794            1       True         46
