Best Model: WeightedEnsemble_L3
Training Time: 0.05705118179321289 seconds
Validation Score: -221484.8644218582

Model Performance:
                      model      score_val             eval_metric  pred_time_val    fit_time  pred_time_val_marginal  fit_time_marginal  stack_level  can_infer  fit_order
      NeuralNetTorch_BAG_L1 -248979.814302 root_mean_squared_error       0.333453   76.879785                0.333453          76.879785            1       True         10
       LightGBM_r130_BAG_L1 -250035.120413 root_mean_squared_error       0.845999   15.760501                0.845999          15.760501            1       True         29
       ExtraTreesMSE_BAG_L1 -250085.768368 root_mean_squared_error       0.239021    1.655897                0.239021           1.655897            1       True          7
      ExtraTrees_r42_BAG_L1 -250426.737653 root_mean_squared_error       0.267645    1.539460                0.267645           1.539460            1       True         20
    RandomForest_r39_BAG_L1 -250458.144946 root_mean_squared_error       0.177874    2.393579                0.177874           2.393579            1       True         43
          LightGBMXT_BAG_L1 -250576.663152 root_mean_squared_error       0.127584   11.912924                0.127584          11.912924            1       True          3
NeuralNetFastAI_r102_BAG_L1 -250697.830825 root_mean_squared_error       0.489247   58.218055                0.489247          58.218055            1       True         22
  NeuralNetTorch_r86_BAG_L1 -251009.445769 root_mean_squared_error       0.257277   62.514704                0.257277          62.514704            1       True         30
        LightGBM_r15_BAG_L1 -251037.851267 root_mean_squared_error       0.102416    7.695205                0.102416           7.695205            1       True         48
     ExtraTrees_r172_BAG_L1 -251522.826056 root_mean_squared_error       0.226148    1.282550                0.226148           1.282550            1       True         34
  NeuralNetTorch_r14_BAG_L1 -251707.688021 root_mean_squared_error       0.152729   29.226851                0.152729          29.226851            1       True         37
         XGBoost_r33_BAG_L1 -251767.661043 root_mean_squared_error       0.554663   37.664427                0.554663          37.664427            1       True         19
        LightGBM_r96_BAG_L1 -251817.532350 root_mean_squared_error       0.707860   19.175471                0.707860          19.175471            1       True         17
       LightGBM_r143_BAG_L1 -252186.564533 root_mean_squared_error       0.118418    9.379375                0.118418           9.379375            1       True         55
        XGBoost_r194_BAG_L1 -252437.532793 root_mean_squared_error       0.367620   12.859109                0.367620          12.859109            1       True         33
   RandomForest_r195_BAG_L1 -252645.656461 root_mean_squared_error       0.123693    2.210330                0.123693           2.210330            1       True         24
       LightGBMLarge_BAG_L1 -252755.436155 root_mean_squared_error       0.143973   16.643333                0.143973          16.643333            1       True         11
 NeuralNetFastAI_r11_BAG_L1 -252874.200690 root_mean_squared_error       0.244050   44.778355                0.244050          44.778355            1       True         32
            LightGBM_BAG_L1 -253183.183859 root_mean_squared_error       0.100734   15.467449                0.100734          15.467449            1       True          4
             XGBoost_BAG_L1 -254065.608953 root_mean_squared_error       0.231641   18.707227                0.231641          18.707227            1       True          9
      ExtraTrees_r49_BAG_L1 -254785.533792 root_mean_squared_error       0.241355    2.078695                0.241355           2.078695            1       True         54
   RandomForest_r127_BAG_L1 -255718.545591 root_mean_squared_error       0.105190    1.437900                0.105190           1.437900            1       True         56
 NeuralNetTorch_r197_BAG_L1 -256108.925452 root_mean_squared_error       0.110497   28.499943                0.110497          28.499943            1       True         52
     RandomForestMSE_BAG_L1 -257793.683280 root_mean_squared_error       0.290795    2.116690                0.290795           2.116690            1       True          5
 NeuralNetFastAI_r37_BAG_L1 -264364.094438 root_mean_squared_error       0.152699   15.861504                0.152699          15.861504            1       True         51
NeuralNetFastAI_r134_BAG_L1 -268931.671954 root_mean_squared_error       0.362083   35.872688                0.362083          35.872688            1       True         57
NeuralNetFastAI_r143_BAG_L1 -271228.994662 root_mean_squared_error       0.257534   51.526942                0.257534          51.526942            1       True         39
      KNeighborsDist_BAG_L1 -559769.506150 root_mean_squared_error       0.072877    0.011213                0.072877           0.011213            1       True          2
      KNeighborsUnif_BAG_L1 -602765.513420 root_mean_squared_error       0.061599    0.010053                0.061599           0.010053            1       True          1
